epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,570.95,1.24747,2.08858,2.04446,1.39642,0.2206,0.47619,0.27331,0.1853,0.26308,0.14286,0.1387,0.0507,1.03217,4.23996,2.28747,1.38184,0.0009704,0.0009704,0.0009704
54,582.08,1.12365,2.40047,1.63716,1.28189,0.20349,0.61905,0.26447,0.19274,0.19913,0.33333,0.16168,0.058,1.0402,4.31614,2.24713,1.34989,0.0009506,0.0009506,0.0009506
55,593.108,1.20748,2.53925,1.85943,1.36985,0.24852,0.52381,0.28417,0.19485,0.3166,0.33333,0.18027,0.06919,1.16517,4.16469,2.23946,1.42402,0.0009308,0.0009308,0.0009308
56,604.067,1.11663,2.0093,1.75167,1.32209,0.28101,0.42857,0.2503,0.16645,0.2679,0.33333,0.14563,0.05975,1.2647,4.60942,2.25769,1.49438,0.000911,0.000911,0.000911
57,616.018,1.21436,2.35114,1.86588,1.37709,0.28101,0.42857,0.2503,0.16645,0.2679,0.33333,0.14563,0.05975,1.2647,4.60942,2.25769,1.49438,0.0008912,0.0008912,0.0008912
58,628.336,1.20635,2.21991,1.97526,1.41945,0.31092,0.47619,0.26039,0.16003,0.22625,0.33333,0.13336,0.05264,1.28331,4.93208,2.35165,1.53704,0.0008714,0.0008714,0.0008714
59,639.092,1.01844,1.87098,1.54712,1.25851,0.27859,0.52381,0.27978,0.18895,0.15986,0.2381,0.08061,0.03095,1.20024,4.64687,2.33237,1.43749,0.0008516,0.0008516,0.0008516
60,649.848,1.20487,2.27726,1.75122,1.31232,0.3129,0.42857,0.31085,0.21301,0.16243,0.2381,0.09876,0.04111,1.07886,4.11794,2.1949,1.34089,0.0008318,0.0008318,0.0008318
61,660.59,1.01593,1.89586,1.65185,1.1445,0.3129,0.42857,0.31085,0.21301,0.16243,0.2381,0.09876,0.04111,1.07886,4.11794,2.1949,1.34089,0.000812,0.000812,0.000812
62,671.352,1.00969,1.74246,1.79876,1.17976,0.28847,0.47619,0.35762,0.24952,0.15504,0.38095,0.10428,0.04313,1.0515,4.28605,2.13425,1.35417,0.0007922,0.0007922,0.0007922
63,682.162,0.89035,1.5559,1.5304,1.15538,0.38971,0.61905,0.41861,0.29447,0.21404,0.28571,0.14788,0.05268,1.06682,4.2657,2.11571,1.36766,0.0007724,0.0007724,0.0007724
64,692.947,1.06011,2.17149,1.94402,1.32927,0.36772,0.66667,0.39791,0.29441,0.23445,0.47619,0.19481,0.06367,1.04699,4.3781,2.03146,1.3712,0.0007526,0.0007526,0.0007526
65,703.652,1.13059,2.35546,2.66868,1.29516,0.36772,0.66667,0.39791,0.29441,0.23445,0.47619,0.19481,0.06367,1.04699,4.3781,2.03146,1.3712,0.0007328,0.0007328,0.0007328
66,714.489,1.08824,1.87951,1.63572,1.22993,0.34045,0.61461,0.38864,0.23803,0.36807,0.28571,0.22892,0.04771,1.09192,4.93707,2.0532,1.41547,0.000713,0.000713,0.000713
67,725.261,0.8737,1.39518,1.72354,1.14782,0.31866,0.57143,0.38752,0.23776,0.23313,0.26108,0.13293,0.03007,1.14543,5.26926,2.02304,1.4303,0.0006932,0.0006932,0.0006932
68,736.021,0.99956,1.94371,1.4993,1.16148,0.3251,0.7619,0.39283,0.23605,0.20951,0.52381,0.14473,0.03621,1.21658,5.25887,2.0887,1.48345,0.0006734,0.0006734,0.0006734
69,746.689,1.0239,1.72403,1.62635,1.16254,0.3251,0.7619,0.39283,0.23605,0.20951,0.52381,0.14473,0.03621,1.21658,5.25887,2.0887,1.48345,0.0006536,0.0006536,0.0006536
70,757.469,1.0525,1.74,1.68809,1.28918,0.29057,0.66667,0.32134,0.19137,0.21127,0.42857,0.15996,0.04159,1.27103,4.71115,2.14809,1.50158,0.0006338,0.0006338,0.0006338
71,768.368,1.00422,1.78006,1.68456,1.18934,0.2889,0.57143,0.31237,0.20467,0.21536,0.38095,0.17677,0.05801,1.23936,3.93194,2.12689,1.46482,0.000614,0.000614,0.000614
72,779.082,1.10695,1.77252,1.61514,1.24725,0.31516,0.71429,0.33061,0.2284,0.21546,0.43163,0.17987,0.05373,1.05363,3.48489,2.0267,1.32054,0.0005942,0.0005942,0.0005942
73,789.851,1.0665,1.96448,1.83961,1.23449,0.31516,0.71429,0.33061,0.2284,0.21546,0.43163,0.17987,0.05373,1.05363,3.48489,2.0267,1.32054,0.0005744,0.0005744,0.0005744
74,800.512,0.85886,1.57208,1.45779,1.11356,0.26325,0.61905,0.33578,0.23595,0.19409,0.42857,0.14494,0.05627,0.96576,3.22897,1.93094,1.28049,0.0005546,0.0005546,0.0005546
75,811.322,1.09136,1.87335,1.77948,1.25647,0.30422,0.42857,0.34668,0.25046,0.2315,0.33333,0.15314,0.05434,0.98146,3.29092,1.90365,1.2712,0.0005348,0.0005348,0.0005348
76,822.044,1.07842,2.07328,1.81997,1.27004,0.3703,0.47619,0.33907,0.25223,0.2482,0.38095,0.17351,0.04736,0.94973,3.42343,1.94202,1.29594,0.000515,0.000515,0.000515
77,832.796,1.02493,1.6795,1.57651,1.1699,0.3703,0.47619,0.33907,0.25223,0.2482,0.38095,0.17351,0.04736,0.94973,3.42343,1.94202,1.29594,0.0004952,0.0004952,0.0004952
78,843.511,0.98772,1.91695,1.70842,1.18524,0.37608,0.57143,0.35971,0.25192,0.1678,0.28571,0.09564,0.03304,0.94148,3.57717,1.89657,1.28083,0.0004754,0.0004754,0.0004754
79,854.167,0.98019,1.74783,2.91227,1.1402,0.35947,0.57143,0.33989,0.23605,0.16469,0.28571,0.11402,0.03529,0.93513,3.79867,1.90802,1.25506,0.0004556,0.0004556,0.0004556
80,865.004,1.05821,1.87871,1.52486,1.19859,0.37346,0.57143,0.35774,0.25176,0.24897,0.38095,0.1562,0.04846,0.92527,3.89421,1.95538,1.2369,0.0004358,0.0004358,0.0004358
81,875.804,0.93853,1.67793,1.56019,1.22731,0.37346,0.57143,0.35774,0.25176,0.24897,0.38095,0.1562,0.04846,0.92527,3.89421,1.95538,1.2369,0.000416,0.000416,0.000416
82,886.537,0.75344,1.43844,1.75221,1.08877,0.29147,0.52381,0.33216,0.23668,0.23099,0.38095,0.17382,0.05499,0.89076,3.84299,2.02098,1.22316,0.0003962,0.0003962,0.0003962
83,897.216,0.9732,1.71084,1.6264,1.22578,0.30488,0.57143,0.33911,0.25217,0.2231,0.38095,0.19021,0.05914,0.86817,3.50562,2.00692,1.19157,0.0003764,0.0003764,0.0003764
84,907.9,0.94253,2.01317,1.93953,1.1759,0.30917,0.47619,0.35458,0.27404,0.21868,0.33333,0.21689,0.07675,0.84941,3.21056,2.029,1.16932,0.0003566,0.0003566,0.0003566
85,918.57,0.9178,1.76737,1.48636,1.11294,0.30917,0.47619,0.35458,0.27404,0.21868,0.33333,0.21689,0.07675,0.84941,3.21056,2.029,1.16932,0.0003368,0.0003368,0.0003368
86,929.296,0.89766,2.00644,1.57477,1.13314,0.36666,0.4689,0.32184,0.22754,0.19165,0.28571,0.15741,0.05801,0.8531,3.10345,2.00378,1.1709,0.000317,0.000317,0.000317
87,939.975,0.86887,1.65452,1.48403,1.12786,0.3209,0.47619,0.30322,0.21386,0.14735,0.2381,0.14291,0.06066,0.89198,2.9906,1.9668,1.1849,0.0002972,0.0002972,0.0002972
88,950.626,0.88316,1.76534,1.57065,1.2375,0.32954,0.51515,0.30367,0.20915,0.22985,0.45507,0.1748,0.06545,0.92023,2.89742,1.9493,1.19087,0.0002774,0.0002774,0.0002774
89,961.184,0.95812,1.87597,1.50051,1.19974,0.32954,0.51515,0.30367,0.20915,0.22985,0.45507,0.1748,0.06545,0.92023,2.89742,1.9493,1.19087,0.0002576,0.0002576,0.0002576
90,972.082,0.8815,1.25687,1.59955,1.14949,0.31547,0.61905,0.29599,0.20134,0.27038,0.57143,0.1946,0.06741,0.9282,2.81963,1.90988,1.19102,0.0002378,0.0002378,0.0002378
91,983.155,1.23216,3.25393,3.89657,1.60577,0.35044,0.66667,0.33361,0.21257,0.30038,0.57143,0.20815,0.07776,0.92088,2.79453,1.88982,1.17558,0.000218,0.000218,0.000218
92,994.053,0.86201,1.10101,2.04842,1.29193,0.33173,0.66667,0.33953,0.21147,0.2951,0.57143,0.20811,0.07995,0.91732,2.82828,1.88134,1.17091,0.0001982,0.0001982,0.0001982
93,1004.8,0.76461,1.493,2.01165,1.17035,0.33173,0.66667,0.33953,0.21147,0.2951,0.57143,0.20811,0.07995,0.91732,2.82828,1.88134,1.17091,0.0001784,0.0001784,0.0001784
94,1015.56,0.80167,1.38972,3.43709,1.21307,0.34803,0.7118,0.33211,0.21686,0.3094,0.61905,0.22993,0.07747,0.92621,2.77903,1.88122,1.16656,0.0001586,0.0001586,0.0001586
95,1026.37,0.84473,1.58258,1.78502,1.22174,0.29711,0.71429,0.30034,0.20301,0.24986,0.47619,0.17685,0.06441,0.92557,2.80355,1.86025,1.1735,0.0001388,0.0001388,0.0001388
96,1037.31,0.97069,1.72978,1.92528,1.36107,0.35277,0.57101,0.34075,0.21988,0.25416,0.42857,0.19234,0.06949,0.91918,2.76921,1.84574,1.17995,0.000119,0.000119,0.000119
97,1048.12,0.74719,1.11992,1.68657,1.07356,0.35277,0.57101,0.34075,0.21988,0.25416,0.42857,0.19234,0.06949,0.91918,2.76921,1.84574,1.17995,9.92e-05,9.92e-05,9.92e-05
98,1058.85,0.7846,1.19208,1.61539,1.11612,0.34693,0.58205,0.34765,0.22685,0.25555,0.42857,0.19148,0.06947,0.91947,2.83793,1.84971,1.18916,7.94e-05,7.94e-05,7.94e-05
99,1069.7,0.76293,1.25749,1.62615,1.08434,0.40888,0.56026,0.34981,0.23292,0.27729,0.42857,0.20247,0.06948,0.9239,2.80169,1.8619,1.20104,5.96e-05,5.96e-05,5.96e-05
100,1080.53,0.88561,1.46648,1.89995,1.26986,0.40877,0.56001,0.35397,0.23295,0.26317,0.42857,0.20322,0.06955,0.91962,2.79026,1.87054,1.20283,3.98e-05,3.98e-05,3.98e-05
