epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,522.285,1.24035,2.57946,2.13177,1.32066,0.21307,0.38095,0.16892,0.10162,0.10405,0.14286,0.03785,0.00708,1.2803,5.53588,2.91405,1.64881,0.0010496,0.0010496,0.0010496
50,532.869,1.19093,2.36266,1.85828,1.33337,0.24433,0.19048,0.16565,0.0932,0.01645,0.09524,0.01206,0.00265,1.25963,5.54124,2.73952,1.5877,0.0010298,0.0010298,0.0010298
51,543.449,1.16962,2.41156,2.12472,1.2451,0.1264,0.47619,0.10305,0.06974,0.01389,0.09524,0.01146,0.00202,1.26189,5.12,2.75345,1.67734,0.00101,0.00101,0.00101
52,554.079,1.19064,2.3019,1.96963,1.28248,0.12999,0.33333,0.11546,0.07545,0.01275,0.04762,0.01056,0.00216,1.12994,5.11427,2.52585,1.43691,0.0009902,0.0009902,0.0009902
53,564.692,1.15565,2.31176,2.14052,1.28843,0.12999,0.33333,0.11546,0.07545,0.01275,0.04762,0.01056,0.00216,1.12994,5.11427,2.52585,1.43691,0.0009704,0.0009704,0.0009704
54,575.318,1.1372,2.40267,1.66682,1.29256,0.14233,0.28571,0.12438,0.07663,0.06049,0.04762,0.01609,0.00276,1.21311,4.32944,2.4614,1.4386,0.0009506,0.0009506,0.0009506
55,586.023,1.26247,2.76183,1.99143,1.41033,0.19973,0.33333,0.21591,0.13914,0.03479,0.14286,0.01477,0.00325,1.14303,4.05241,2.21558,1.37076,0.0009308,0.0009308,0.0009308
56,596.587,1.08883,2.05938,1.72942,1.25638,0.33527,0.33333,0.31129,0.20489,0.02902,0.09524,0.00961,0.00211,1.15131,4.33346,2.13943,1.36091,0.000911,0.000911,0.000911
57,607.179,1.22377,2.49398,2.01657,1.38678,0.33527,0.33333,0.31129,0.20489,0.02902,0.09524,0.00961,0.00211,1.15131,4.33346,2.13943,1.36091,0.0008912,0.0008912,0.0008912
58,617.813,1.19753,2.34752,1.95321,1.37484,0.39133,0.38095,0.33527,0.21842,0.07101,0.2381,0.02507,0.00438,1.12345,4.18264,2.19704,1.37431,0.0008714,0.0008714,0.0008714
59,628.473,1.0297,1.86497,1.6235,1.23738,0.4916,0.32293,0.33677,0.19176,0.07346,0.2381,0.03857,0.00531,1.16766,4.04544,2.19859,1.37719,0.0008516,0.0008516,0.0008516
60,639.154,1.22206,2.17837,1.78317,1.28736,0.35712,0.42857,0.34117,0.18609,0.10422,0.28571,0.06277,0.00959,1.34432,4.11287,2.30081,1.64119,0.0008318,0.0008318,0.0008318
61,649.747,1.02208,1.94175,1.74443,1.14692,0.35712,0.42857,0.34117,0.18609,0.10422,0.28571,0.06277,0.00959,1.34432,4.11287,2.30081,1.64119,0.000812,0.000812,0.000812
62,660.399,1.04763,1.81186,1.72886,1.16019,0.33308,0.47619,0.29891,0.19195,0.18482,0.2381,0.08963,0.01343,1.32643,4.40728,2.34191,1.62187,0.0007922,0.0007922,0.0007922
63,671.017,0.90757,1.59736,1.59864,1.1594,0.35194,0.57143,0.34141,0.19855,0.14201,0.19048,0.05022,0.01131,1.20975,5.38762,2.2319,1.44918,0.0007724,0.0007724,0.0007724
64,681.583,1.10281,2.27801,2.0222,1.29052,0.376,0.52381,0.30303,0.19478,0.1819,0.38095,0.10359,0.01935,1.34888,5.31213,2.20022,1.56953,0.0007526,0.0007526,0.0007526
65,692.311,1.26711,2.52598,2.78783,1.36887,0.376,0.52381,0.30303,0.19478,0.1819,0.38095,0.10359,0.01935,1.34888,5.31213,2.20022,1.56953,0.0007328,0.0007328,0.0007328
66,703.013,1.11963,2.0553,1.74147,1.24435,0.39421,0.57143,0.33415,0.19324,0.21191,0.38095,0.10999,0.02153,1.41019,5.40168,2.19466,1.69025,0.000713,0.000713,0.000713
67,713.715,0.88778,1.43895,1.83641,1.12867,0.35242,0.54456,0.31518,0.1819,0.26079,0.40357,0.16892,0.03309,1.38052,5.04939,2.18894,1.70229,0.0006932,0.0006932,0.0006932
68,724.327,0.98953,1.99646,1.49561,1.15134,0.40485,0.61905,0.3625,0.22497,0.24217,0.33333,0.11075,0.0313,1.28579,5.5506,2.1339,1.48507,0.0006734,0.0006734,0.0006734
69,734.958,1.08698,1.77278,1.67417,1.18258,0.40485,0.61905,0.3625,0.22497,0.24217,0.33333,0.11075,0.0313,1.28579,5.5506,2.1339,1.48507,0.0006536,0.0006536,0.0006536
70,745.654,0.99431,1.9071,1.74352,1.28521,0.41275,0.60279,0.33724,0.19509,0.22916,0.33333,0.11475,0.03684,1.20628,5.71928,2.11826,1.40723,0.0006338,0.0006338,0.0006338
71,756.339,1.0415,1.92949,1.69596,1.17393,0.41656,0.57143,0.35311,0.19997,0.24299,0.33333,0.10902,0.03813,1.08486,5.30796,2.23408,1.34311,0.000614,0.000614,0.000614
72,766.893,1.05344,1.88397,1.67779,1.22606,0.37559,0.47619,0.33249,0.19408,0.28322,0.38095,0.14425,0.04889,1.05377,3.94909,2.25864,1.34987,0.0005942,0.0005942,0.0005942
73,777.544,1.15442,1.99985,1.85551,1.26015,0.37559,0.47619,0.33249,0.19408,0.28322,0.38095,0.14425,0.04889,1.05377,3.94909,2.25864,1.34987,0.0005744,0.0005744,0.0005744
74,788.04,0.89187,1.54372,1.55671,1.13718,0.42988,0.47619,0.33122,0.21612,0.28817,0.33333,0.18232,0.04096,1.01051,3.38744,2.16874,1.3104,0.0005546,0.0005546,0.0005546
75,798.658,1.119,1.94363,1.7984,1.30057,0.39089,0.47619,0.29734,0.21562,0.2136,0.28571,0.14282,0.03212,0.95803,3.59721,1.98161,1.29133,0.0005348,0.0005348,0.0005348
76,809.252,1.09556,2.15596,1.93514,1.28751,0.35198,0.47619,0.34009,0.24428,0.14057,0.19048,0.07822,0.02036,1.01604,3.79909,1.86967,1.32865,0.000515,0.000515,0.000515
77,819.88,0.9969,1.70268,1.66842,1.16291,0.35198,0.47619,0.34009,0.24428,0.14057,0.19048,0.07822,0.02036,1.01604,3.79909,1.86967,1.32865,0.0004952,0.0004952,0.0004952
78,830.587,0.9734,2.01162,1.76545,1.16945,0.38414,0.52381,0.37612,0.26451,0.15392,0.28571,0.10616,0.03355,1.01887,4.10368,1.8175,1.3313,0.0004754,0.0004754,0.0004754
79,841.159,0.98867,1.92523,2.84236,1.1484,0.33008,0.52381,0.38032,0.27361,0.17664,0.28571,0.12275,0.03371,1.04271,4.47753,1.83303,1.34341,0.0004556,0.0004556,0.0004556
80,851.875,1.00284,1.75466,1.57892,1.17179,0.33621,0.57143,0.34755,0.2364,0.14114,0.28571,0.10369,0.02696,1.02979,4.4903,1.8774,1.35111,0.0004358,0.0004358,0.0004358
81,862.538,0.86548,1.94861,1.68978,1.18595,0.33621,0.57143,0.34755,0.2364,0.14114,0.28571,0.10369,0.02696,1.02979,4.4903,1.8774,1.35111,0.000416,0.000416,0.000416
82,873.214,0.81353,1.58858,1.92802,1.08675,0.36091,0.42857,0.30702,0.20991,0.1412,0.2381,0.0766,0.01784,1.10688,4.16147,1.96379,1.38942,0.0003962,0.0003962,0.0003962
83,883.87,0.9959,1.86573,1.69925,1.21436,0.33681,0.50819,0.32215,0.22511,0.17891,0.2701,0.0851,0.02464,1.16218,3.66144,1.98664,1.39565,0.0003764,0.0003764,0.0003764
84,894.549,0.97802,2.03165,1.96753,1.16502,0.31321,0.52381,0.31858,0.2139,0.1999,0.33333,0.10441,0.03041,1.13494,3.28382,1.9468,1.36302,0.0003566,0.0003566,0.0003566
85,905.305,0.96637,1.59839,1.57122,1.12232,0.31321,0.52381,0.31858,0.2139,0.1999,0.33333,0.10441,0.03041,1.13494,3.28382,1.9468,1.36302,0.0003368,0.0003368,0.0003368
86,916.077,0.89706,1.93579,1.64065,1.11326,0.30434,0.57143,0.30321,0.20801,0.22688,0.36366,0.11479,0.03388,1.05929,2.98808,1.89492,1.31182,0.000317,0.000317,0.000317
87,926.651,0.93403,1.78261,1.55866,1.12989,0.3247,0.57143,0.32169,0.22659,0.24434,0.42857,0.14075,0.0426,1.0402,3.04303,1.83665,1.28696,0.0002972,0.0002972,0.0002972
88,937.437,0.91312,1.78765,1.61277,1.1973,0.3753,0.61905,0.33384,0.22213,0.24698,0.42857,0.16259,0.05062,0.99544,2.92492,1.79272,1.28236,0.0002774,0.0002774,0.0002774
89,948.073,0.9477,1.91465,1.53304,1.16403,0.3753,0.61905,0.33384,0.22213,0.24698,0.42857,0.16259,0.05062,0.99544,2.92492,1.79272,1.28236,0.0002576,0.0002576,0.0002576
90,958.767,0.93313,1.56412,1.62156,1.15802,0.32896,0.58383,0.3327,0.22634,0.24942,0.36431,0.14694,0.04717,0.99183,2.98533,1.77997,1.29528,0.0002378,0.0002378,0.0002378
91,969.798,0.99006,2.36283,3.56735,1.45576,0.33778,0.47619,0.3576,0.2621,0.20013,0.28571,0.11735,0.04765,1.0036,2.79178,1.76673,1.30102,0.000218,0.000218,0.000218
92,980.789,0.8681,1.19535,2.22911,1.2809,0.34112,0.49342,0.36804,0.27689,0.2087,0.30177,0.11543,0.05171,0.99501,2.7278,1.76483,1.30196,0.0001982,0.0001982,0.0001982
93,991.591,0.79603,1.19907,2.07813,1.13331,0.34112,0.49342,0.36804,0.27689,0.2087,0.30177,0.11543,0.05171,0.99501,2.7278,1.76483,1.30196,0.0001784,0.0001784,0.0001784
94,1002.34,0.87033,1.51627,4.03764,1.24112,0.32585,0.47619,0.3731,0.27469,0.21157,0.38095,0.13864,0.05807,1.01118,2.66558,1.74134,1.31994,0.0001586,0.0001586,0.0001586
95,1013,0.89393,1.41991,1.84046,1.24001,0.34969,0.52381,0.3683,0.27445,0.24005,0.38095,0.14074,0.05892,1.02042,2.58784,1.7338,1.34016,0.0001388,0.0001388,0.0001388
96,1024.05,0.95463,1.53732,2.09601,1.32366,0.34147,0.52381,0.37006,0.27177,0.23275,0.38095,0.14877,0.06402,1.05655,2.59828,1.73629,1.36799,0.000119,0.000119,0.000119
97,1035.14,0.74709,1.42828,1.65898,1.06037,0.34147,0.52381,0.37006,0.27177,0.23275,0.38095,0.14877,0.06402,1.05655,2.59828,1.73629,1.36799,9.92e-05,9.92e-05,9.92e-05
98,1046.78,0.73609,1.22638,1.74385,1.05119,0.36328,0.52381,0.35211,0.25256,0.26143,0.42857,0.15236,0.06118,1.05579,2.60842,1.76231,1.37821,7.94e-05,7.94e-05,7.94e-05
99,1059.33,0.84537,1.35208,1.74423,1.11944,0.3649,0.49286,0.34908,0.24608,0.26206,0.42857,0.15206,0.05816,1.06089,2.63733,1.78793,1.37686,5.96e-05,5.96e-05,5.96e-05
100,1072.23,0.89546,1.56933,1.98288,1.2234,0.36088,0.47619,0.35667,0.24843,0.26541,0.41323,0.14596,0.05579,1.06879,2.656,1.80472,1.37817,3.98e-05,3.98e-05,3.98e-05
